Date,Open,High,Low,Close,Adj Close,Volume
2019-10-24,67.842857,68.300003,66.985718,68.114288,67.388580,3913553
2019-10-25,68.114288,68.771431,67.642860,68.728569,67.996315,3695622
2019-10-28,69.000000,70.457146,68.585716,70.457146,69.706482,4569754
2019-10-29,70.099998,70.385712,68.985718,69.357140,68.618195,6714134
2019-10-30,69.014282,76.142860,66.871429,71.857140,71.091553,20015597
2019-10-31,71.857140,72.400002,70.000000,70.414284,69.664078,8463455
2019-11-01,70.714287,71.857140,70.642860,71.657143,70.893692,842142
2019-11-04,72.485718,74.857140,72.228569,74.857140,74.059593,8295343
2019-11-05,75.000000,76.885712,74.714287,76.885712,76.066551,8109101
2019-11-06,76.828568,77.485718,74.885712,75.171425,74.370529,7359653
2019-11-07,75.857140,76.942856,75.771431,76.085716,75.275078,7167685
2019-11-08,76.000000,76.257141,75.228569,76.142860,75.331619,2903383
2019-11-11,76.114288,76.257141,75.571426,76.057144,75.246811,7135961
2019-11-12,76.400002,76.485718,75.428574,76.028572,75.218552,5081748
2019-11-13,75.571426,76.199997,74.542854,76.000000,75.190277,4609437
2019-11-14,76.114288,76.142860,74.571426,74.628571,73.833458,5414682
2019-11-15,75.542854,76.142860,74.371429,74.971428,74.172668,5481560
2019-11-18,75.257141,75.571426,73.714287,74.542854,73.748657,3549546
2019-11-19,74.885712,75.628571,74.571426,75.000000,74.200935,3912755
2019-11-20,74.599998,75.571426,74.000000,74.971428,74.172668,4666354
2019-11-21,74.257141,74.571426,73.400002,73.971428,73.183319,3250730
2019-11-22,73.771431,74.685715,73.685715,74.428574,73.635597,3631005
2019-11-25,74.914284,75.914284,74.914284,75.857140,75.048935,2900366
2019-11-26,75.971428,76.771431,75.428574,76.628571,75.812149,5854184
2019-11-27,76.971428,77.514282,76.285713,76.485718,75.670830,6027448
2019-11-28,75.971428,77.114288,75.971428,77.085716,76.264427,2897083
2019-11-29,76.942856,77.771431,76.371429,77.342857,76.518829,10507931
2019-12-02,77.485718,77.914284,76.085716,76.228569,75.416412,8041236
2019-12-03,76.714287,77.628571,76.000000,76.257141,75.444687,5415368
2019-12-04,76.571426,78.485718,76.371429,78.428574,77.592972,3969427
2019-12-05,78.542854,79.057144,77.657143,78.057144,77.225502,5968956
2019-12-06,78.171425,78.657143,77.685715,78.114288,77.282043,4844441
2019-12-09,78.000000,78.000000,76.400002,76.485718,75.670830,5385695
2019-12-10,76.085716,76.142860,74.685715,75.685715,74.879349,6974912
2019-12-11,75.428574,76.914284,74.628571,76.685715,75.868690,7407617
2019-12-12,76.685715,77.599998,75.514282,77.571426,76.744965,6974240
2019-12-13,78.571426,82.142860,78.342857,82.142860,81.267693,12833926
2019-12-16,78.571426,79.714287,77.428574,78.971428,78.130051,10547936
2019-12-17,78.971428,79.142860,76.771431,77.285713,76.462288,8288252
2019-12-18,76.914284,77.085716,75.342857,75.714287,74.907616,8737120
2019-12-19,75.657143,76.199997,75.142860,75.885712,75.077202,4525626
2019-12-20,75.914284,76.257141,75.085716,75.228569,74.427071,6055371
2019-12-23,75.342857,76.285713,75.228569,75.914284,75.105476,2166374
2019-12-27,76.057144,76.800003,75.685715,76.171425,75.359871,2729069
2019-12-30,76.114288,76.314285,74.657143,75.000000,74.200935,3116400
2020-01-02,75.085716,76.914284,75.085716,76.914284,76.094818,4091409
2020-01-03,76.085716,76.142860,75.028572,75.342857,74.540138,2486428
2020-01-07,75.314285,76.199997,75.228569,75.828568,75.020676,3547775
2020-01-08,74.400002,75.828568,74.342857,75.028572,74.229202,3486336
2020-01-09,75.828568,75.828568,74.857140,75.685715,74.879349,6420666
